Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
'SKID generation',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,1: Generation 64 Bit,611.216 ns,4.8202 ns,8.568 ns,1.00,0.02,0.0000,0 B,NA
'Random 64-bit integer generation',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,1: Generation 64 Bit,127.361 ns,2.4780 ns,4.405 ns,0.21,0.01,0.0038,32 B,NA
'Plain SKEID generation',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,2: Generation 128 Bit,611.228 ns,4.9942 ns,8.877 ns,1.00,0.02,0.0000,0 B,NA
'Secure SKEID generation',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,2: Generation 128 Bit,611.670 ns,6.3304 ns,11.252 ns,1.00,0.02,0.0000,0 B,NA
'Random UUID V4 generation',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,2: Generation 128 Bit,281.013 ns,1.0335 ns,1.837 ns,0.46,0.01,0.0000,0 B,NA
'Random UUID V7 generation',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,2: Generation 128 Bit,302.969 ns,1.1007 ns,1.957 ns,0.50,0.01,0.0000,0 B,NA
'SKID parsing',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,3: Parsing,5.724 ns,0.5700 ns,1.013 ns,1.03,0.26,0.0000,0 B,NA
'SKEID parsing',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,3: Parsing,158.786 ns,1.2082 ns,2.116 ns,28.63,5.18,0.0000,0 B,NA
'Secure SKEID parsing',Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,3: Parsing,176.380 ns,1.4425 ns,2.564 ns,31.80,5.75,0.0000,0 B,NA
ToPlain,Job-ZZADAZ,False,Default,Default,Default,Default,Default,RemoveUpper,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,786432,40,Default,Default,Default,Default,Default,Default,Default,Default,1,40,4: Conversion,139.115 ns,1.1597 ns,2.031 ns,1.00,0.02,0.0000,0 B,NA
